,movieNm,rankAtt_1,audiCntAtt_1,showCntAtt_1
583,파퍼씨네 펭귄들,4,-52961,-293
584,도가니,9,-187353,-2506
587,의뢰인,5,-38483,-1727
589,카운트다운,5,1428,-713
592,완득이,6,-68795,-2172
596,리얼 스틸,3,-27088,-1956
597,삼총사 3D,2,-1403,-1818
598,오직 그대만,2,-10958,-1242
600,커플즈,5,-15389,-1459
601,인 타임,-1,20889,593
602,너는 펫,5,-15403,-1023
603,신들의 전쟁,0,-6444,-841
604,머니볼,6,-16960,-1160
606,특수본,7,-32928,-1863
607,브레이킹 던 part1,5,1493,-1567
609,오싹한 연애,1,-25467,-291
613,퍼펙트 게임,4,-37143,-1735
617,미션임파서블:고스트프로토콜,5,-144702,-2842
623,부러진 화살,6,-235882,-2112
627,셜록홈즈 : 그림자 게임,6,-70648,-1839
635,네버엔딩 스토리,2,-38219,-1110
636,파파,6,-14527,-1594
638,밀레니엄 : 여자를 증오한 남자들,3,-14249,-742
640,댄싱퀸,1,-119364,-352
641,페이스메이커,-1,-58837,-23
642,우리는 동물원을 샀다,1,-31740,80
643,잃어버린 세계를 찾아서 2: 신비의 섬,-2,-23959,-222
644,범죄와의 전쟁: 나쁜놈들 전성시대,0,36398,-164
646,하울링,0,44759,270
647,더 그레이,-4,22655,479
648,맨 온 렛지,0,-8714,-245
649,러브픽션,0,111241,-58
651,디스 민즈 워,1,6655,85
652,화차,0,7656,-31
657,건축학개론,5,-70025,-2500
662,크로니클,-1,17619,245
663,시체가 돌아왔다,8,-35569,-2088
664,언터처블: 1%의 우정,1,-2963,-231
667,타이탄의 분노,-2,42474,231
668,헝거게임: 판엠의 불꽃,4,-52967,-1020
670,간기남,4,-33237,-1719
671,배틀쉽,1,-14757,-2130
672,미녀와 야수,0,44096,93
686,코리아,7,-57388,-2383
688,은교,7,-111012,-2418
692,어벤져스,0,-94212,-2620
694,백설공주,4,-16050,-1330
698,다크 섀도우,5,-25582,-1687
699,내 아내의 모든 것,9,-112291,-2493
701,돈의 맛,6,-42797,-2544
703,후궁 : 제왕의 첩,7,-87120,-2659
707,차형사,4,-44111,-1753
708,스노우 화이트 앤 더 헌츠맨,-1,7661,-831
709,미확인 동영상 : 절대클릭금지,1,-31914,-1389
710,프로메테우스,1,16477,-1081
711,아부의 왕,5,-23150,-1806
712,락아웃: 익스트림미션,7,-22171,-1746
713,미쓰GO,-2,23773,89
714,어메이징 스파이더맨,0,119589,84
716,두 개의 달,7,-26621,-1719
717,연가시,9,-187762,-3420
718,다크 나이트 라이즈,-1,246159,1246
722,도둑들,9,-497131,-4998
726,무서운 이야기,1,-5143,108
727,바람과 함께 사라지다,5,-247433,-3048
736,나는 왕이로소이다,4,-40251,-1572
737,R2B: 리턴투베이스,5,-44414,-2267
738,스텝업4 : 레볼루션,3,-28048,-993
739,토탈 리콜,7,-42099,-1915
740,이웃사람,8,-83709,-2830
743,공모자들,1,26437,-223
744,링컨: 뱀파이어 헌터,-1,29257,214
746,본 레거시,0,51847,-35
748,익스펜더블 2,-1,12302,315
750,"광해, 왕이 된 남자",9,-187871,-3565
755,레지던트 이블 5 : 최후의 심판,0,34640,84
757,간첩,0,27388,189
758,점쟁이들,5,-29845,-2151
759,테이큰 2,-1,-23787,143
760,루퍼,6,-26065,-1644
761,용의자X,7,-69306,-2497
762,위험한 관계,6,-21641,-1590
765,회사원,4,-51139,-2775
766,늑대소년,8,-168874,-3227
770,007 스카이폴,-1,123373,887
772,내가 살인범이다,6,-105617,-2508
774,브레이킹 던 part2,0,94853,-131
775,돈 크라이 마미,6,-50424,-2205
777,26년,6,-91991,-2291
779,반창꼬,7,-202362,-1820
783,가문의 영광5 - 가문의 귀환,6,-139662,-1521
785,호빗: 뜻밖의 여정,-1,-45128,1992
789,레미제라블,2,-297329,-1540
803,타워,7,-314030,-3199
807,박수건달,0,-44793,-509
809,클라우드 아틀라스,-1,21215,142
813,마이 리틀 히어로,0,-526,179
816,잭 리처,-3,46032,646
817,더 임파서블,-2,30193,946
819,7번방의 선물,9,-276234,-3184
822,베를린,1,-63017,-2454
825,남쪽으로 튀어,4,-68684,-1870
827,남자사용설명서,4,-34777,-1694
828,다이하드: 굿 데이 투 다이,0,-52803,16
829,신세계,7,-150799,-2809
831,해양경찰 마르코,2,-6111,-78
832,분노의 윤리학,-4,26697,630
833,차이니즈 조디악,-1,12046,166
835,스토커,3,1084,-631
838,잭 더 자이언트 킬러,-1,94112,232
839,파파로티,6,-53162,-2365
841,사이코메트리,7,-31005,-1917
843,오즈 그레이트 앤드 파워풀,0,7139,245
844,연애의 온도,9,-72666,-2589
847,웜 바디스,8,-38903,-2314
848,장고:분노의 추적자,0,6725,82
850,런닝맨,8,-46587,-2169
851,전설의 주먹,9,-56053,-2765
852,지.아이.조 2,0,52381,133
853,오블리비언,-1,34946,-60
854,노리개,-2,9647,67
855,송 포 유,1,-1175,2
856,전국노래자랑,8,-36278,-2623
858,아이언맨 3,0,-128486,-445
859,고령화 가족,7,-77062,-2919
860,몽타주,2,-64743,-2339
861,미나문방구,-2,-3517,-721
862,분노의 질주: 더 맥시멈,5,-82973,-2871
863,스타트렉 다크니스,6,-55155,-1747
865,위대한 개츠비,-2,50403,788
866,비포 미드나잇,4,-9255,-764
871,은밀하게 위대하게,8,-173884,-5075
872,무서운 이야기 2,6,-12161,-1381
874,애프터 어스,-5,56701,1607
875,백악관 최후의 날,0,8559,181
876,월드 워 Z,8,-183610,-4509
877,맨 오브 스틸,-1,79652,206
878,더 웹툰: 예고살인,3,-39691,-1782
879,감시자들,8,-203438,-4534
880,화이트 하우스 다운,4,-21776,-1415
881,론 레인저,-1,17919,213
884,미스터 고,4,-50512,-2810
886,퍼시픽 림,6,-86078,-2813
887,레드: 더 레전드,0,-1828,-909
888,설국열차,7,-359738,-5284
892,더 테러 라이브,7,-231825,-4038
893,더 울버린,4,-20419,-932
894,숨바꼭질,8,-229111,-3826
901,감기,2,-55802,-2821
902,나우 유 씨 미 : 마술사기단,1,26650,-688
904,잡스,4,-8637,-1234
906,엘리시움,0,75130,-325
907,스파이,6,-43779,-2654
917,관상,9,-387514,-5500
921,퍼시 잭슨과 괴물의 바다,2,-41390,-907
922,섀도우 헌터스: 뼈의 도시,-4,-7236,630
923,소원,6,-109972,-3042
927,깡철이,7,-60841,-3335
928,프리즈너스,0,8859,178
930,화이: 괴물을 삼킨 아이,9,-88027,-3675
932,밤의 여왕,3,-16174,-1435
933,롤러코스터,2,-12627,-1459
934,캡틴 필립스,1,-9996,-968
936,공범,6,-54684,-2066
937,응징자,5,-11222,-1334
938,노브레싱,6,-13080,-1961
939,동창생,6,-44726,-3013
941,토르: 다크 월드,0,45232,-301
942,결혼전야,9,-58397,-2251
945,친구 2,8,-109718,-3876
947,어바웃 타임,8,-82413,-2112
952,더 파이브,0,3685,256
953,열한시,8,-45745,-2474
954,헝거게임: 캣칭 파이어,7,-44044,-2221
957,창수,6,-20139,-1775
958,인시디어스: 두번째 집,-1,17775,122
960,이스케이프 플랜,1,681,11
961,집으로 가는 길,0,-11776,-420
964,변호인,9,-442712,-4080
968,호빗: 스마우그의 폐허,-3,65770,539
970,캐치미,3,-25239,-880
972,용의자,7,-154694,-3246
974,엔더스 게임,3,-13940,-1701
976,플랜맨,7,-27439,-1781
978,더 울프 오브 월스트리트,2,6661,-110
982,잭 라이언 : 코드네임 쉐도우,-4,37945,1529
983,피끓는 청춘,-2,86337,82
984,수상한 그녀,1,-30697,-330
988,남자가 사랑할 때,1,14806,47
990,조선미녀삼총사,4,-11307,-1260
991,또 하나의 약속,2,-19450,-749
993,관능의 법칙,3,-40220,-2208
994,폴리스 스토리 2014,0,11419,113
995,프랑켄슈타인: 불멸의 영웅,-1,26522,284
996,로보캅,-2,47899,364
998,찌라시: 위험한 소문,-1,15532,-128
999,폼페이: 최후의 날,1,-12605,-86
1000,논스톱,0,52746,-180
1001,노예 12년,3,-40,6
1004,300: 제국의 부활,0,59337,19
1005,우아한 거짓말,1,272,-211
1009,노아,-1,111004,1039
1010,캡틴 아메리카: 윈터 솔져,0,72846,-282
1011,방황하는 칼날,6,-34385,-2108
1012,쓰리데이즈 투 킬,3,-9395,-1337
1013,다이버전트,1,9205,-50
1015,어메이징 스파이더맨 2,0,87038,-73
1016,역린,8,-316285,-4361
1019,라스트베가스,3,-3463,-688
1020,표적,5,-223768,-3091
1021,인간중독,9,-71445,-2862
1024,끝까지 간다,7,-94456,-1920
1026,트랜센던스,1,14160,82
1027,고질라,-4,69653,798
1028,엑스맨: 데이즈 오브 퓨처 패스트,8,-93925,-3475
1029,오큘러스,2,-16202,-284
1031,말레피센트,-2,-7929,708
1032,우는 남자,2,-11558,-1539
1033,하이힐,1,-11358,-1341
1034,엣지 오브 투모로우,1,-15947,-2207
1035,황제를 위하여,0,17913,-391
1036,트랜스포머: 사라진 시대,0,347356,1329
1037,신의 한 수,7,-107378,-3198
1039,소녀괴담,1,-5477,-217
1040,좋은 친구들,-2,18747,927
1045,혹성탈출: 반격의 서막,0,63999,-357
1046,군도: 민란의 시대,5,-173333,-3727
1049,주온 : 끝의 시작,-2,39742,1137
1050,명량,6,-697518,-6760
1054,해적: 바다로 간 산적,6,-225417,-3623
1056,해무(海霧),4,-47436,-1632
1058,"안녕, 헤이즐",4,-30147,-916
1059,타짜-신의 손,8,-350494,-3366
1060,인투 더 스톰,-3,64016,1128
1062,닌자터틀,-5,45296,2168
1064,두근두근 내 인생,8,-190424,-2143
1065,루시,-2,-21781,15
1066,스텝 업: 올 인,-2,-30567,67
1069,메이즈 러너,9,-73992,-3034
1070,툼스톤,-2,18933,1003
1073,제보자,4,-117840,-2224
1074,애나벨,1,-71593,-1259
1076,마담 뺑덕,2,-17303,-897
1078,슬로우 비디오,-2,10215,1206
1079,나의 사랑 나의 신부,6,-63018,-2832
1081,드라큘라: 전설의 시작,0,32772,-355
1082,나의 독재자,5,-3250,-693
1084,나를 찾아줘,0,-775,-86
1085,우리는 형제입니다,-1,30153,393
1086,레드카펫,-1,18395,944
1087,카트,4,-15850,-1059
1090,패션왕,-1,14288,922
1092,퓨리,4,-44704,-1717
1093,헝거게임: 모킹제이,3,-21759,-1376
1094,빅매치,4,-30763,-1694
1096,국제시장,7,-214920,-4256
1100,덕수리 5형제,1,-5744,-603
1101,엑소더스: 신들과 왕들,8,-53331,-2387
1103,사랑에 대한 모든 것,-1,11433,220
1107,"러브, 로지",1,3565,117
1110,기술자들,8,-108206,-2771
1112,호빗: 다섯 군대 전투,-2,98346,503
1114,상의원,2,-41205,-1671
1116,숲속으로,-2,36573,270
1118,패딩턴,4,-10064,-977
1121,테이큰 3,1,77901,-462
1123,언브로큰,0,8278,165
1125,워킹걸,0,1924,75
1127,오늘의 연애,0,46871,-240
1128,허삼관,0,18942,362
1130,박물관이 살아있다 : 비밀의 무덤,0,704,68
1131,아메리칸 스나이퍼,0,-3899,-25
1133,강남 1970,0,58873,-174
1134,내 심장을 쏴라,0,37065,234
1135,워터 디바이너,0,11596,228
1137,주피터 어센딩,-3,26471,391
1138,조선명탐정 : 사라진 놉의 딸,-1,-34644,-142
1139,킹스맨 : 시크릿 에이전트,1,-88758,-706
