,rankAtt_1,audiCntAtt_1,showCntAtt_1,movieNm
579,7,-130404,-2440,가문의 영광4 - 가문의 수난
580,4,-26501,-1273,통증
581,-4,-4824,45,파이널 데스티네이션5
583,4,-52961,-293,파퍼씨네 펭귄들
584,9,-187353,-2506,도가니
587,5,-38483,-1727,의뢰인
589,5,1428,-713,카운트다운
592,6,-68795,-2172,완득이
596,3,-27088,-1956,리얼 스틸
597,2,-1403,-1818,삼총사 3D
598,2,-10958,-1242,오직 그대만
600,5,-15389,-1459,커플즈
601,-1,20889,593,인 타임
602,5,-15403,-1023,너는 펫
603,0,-6444,-841,신들의 전쟁
604,6,-16960,-1160,머니볼
606,7,-32928,-1863,특수본
607,5,1493,-1567,브레이킹 던 part1
609,1,-25467,-291,오싹한 연애
613,4,-37143,-1735,퍼펙트 게임
617,5,-144702,-2842,미션임파서블:고스트프로토콜
623,6,-235882,-2112,부러진 화살
627,6,-70648,-1839,셜록홈즈 : 그림자 게임
635,2,-38219,-1110,네버엔딩 스토리
636,6,-14527,-1594,파파
638,3,-14249,-742,밀레니엄 : 여자를 증오한 남자들
640,1,-119364,-352,댄싱퀸
641,-1,-58837,-23,페이스메이커
642,1,-31740,80,우리는 동물원을 샀다
643,-2,-23959,-222,잃어버린 세계를 찾아서 2: 신비의 섬
644,0,36398,-164,범죄와의 전쟁: 나쁜놈들 전성시대
646,0,44759,270,하울링
647,-4,22655,479,더 그레이
648,0,-8714,-245,맨 온 렛지
649,0,111241,-58,러브픽션
651,1,6655,85,디스 민즈 워
652,0,7656,-31,화차
657,5,-70025,-2500,건축학개론
662,-1,17619,245,크로니클
663,8,-35569,-2088,시체가 돌아왔다
664,1,-2963,-231,언터처블: 1%의 우정
667,-2,42474,231,타이탄의 분노
668,4,-52967,-1020,헝거게임: 판엠의 불꽃
670,4,-33237,-1719,간기남
671,1,-14757,-2130,배틀쉽
672,0,44096,93,미녀와 야수
686,7,-57388,-2383,코리아
688,7,-111012,-2418,은교
692,0,-94212,-2620,어벤져스
694,4,-16050,-1330,백설공주
698,5,-25582,-1687,다크 섀도우
699,9,-112291,-2493,내 아내의 모든 것
701,6,-42797,-2544,돈의 맛
703,7,-87120,-2659,후궁 : 제왕의 첩
707,4,-44111,-1753,차형사
708,-1,7661,-831,스노우 화이트 앤 더 헌츠맨
709,1,-31914,-1389,미확인 동영상 : 절대클릭금지
710,1,16477,-1081,프로메테우스
711,5,-23150,-1806,아부의 왕
712,7,-22171,-1746,락아웃: 익스트림미션
713,-2,23773,89,미쓰GO
714,0,119589,84,어메이징 스파이더맨
716,7,-26621,-1719,두 개의 달
717,9,-187762,-3420,연가시
718,-1,246159,1246,다크 나이트 라이즈
722,9,-497131,-4998,도둑들
726,1,-5143,108,무서운 이야기
727,5,-247433,-3048,바람과 함께 사라지다
736,4,-40251,-1572,나는 왕이로소이다
737,5,-44414,-2267,R2B: 리턴투베이스
738,3,-28048,-993,스텝업4 : 레볼루션
739,7,-42099,-1915,토탈 리콜
740,8,-83709,-2830,이웃사람
743,1,26437,-223,공모자들
744,-1,29257,214,링컨: 뱀파이어 헌터
746,0,51847,-35,본 레거시
748,-1,12302,315,익스펜더블 2
750,9,-187871,-3565,"광해, 왕이 된 남자"
755,0,34640,84,레지던트 이블 5 : 최후의 심판
757,0,27388,189,간첩
758,5,-29845,-2151,점쟁이들
759,-1,-23787,143,테이큰 2
760,6,-26065,-1644,루퍼
761,7,-69306,-2497,용의자X
762,6,-21641,-1590,위험한 관계
765,4,-51139,-2775,회사원
766,8,-168874,-3227,늑대소년
770,-1,123373,887,007 스카이폴
772,6,-105617,-2508,내가 살인범이다
774,0,94853,-131,브레이킹 던 part2
775,6,-50424,-2205,돈 크라이 마미
777,6,-91991,-2291,26년
779,7,-202362,-1820,반창꼬
783,6,-139662,-1521,가문의 영광5 - 가문의 귀환
785,-1,-45128,1992,호빗: 뜻밖의 여정
789,2,-297329,-1540,레미제라블
803,7,-314030,-3199,타워
807,0,-44793,-509,박수건달
809,-1,21215,142,클라우드 아틀라스
813,0,-526,179,마이 리틀 히어로
816,-3,46032,646,잭 리처
817,-2,30193,946,더 임파서블
819,9,-276234,-3184,7번방의 선물
822,1,-63017,-2454,베를린
825,4,-68684,-1870,남쪽으로 튀어
827,4,-34777,-1694,남자사용설명서
828,0,-52803,16,다이하드: 굿 데이 투 다이
829,7,-150799,-2809,신세계
831,2,-6111,-78,해양경찰 마르코
832,-4,26697,630,분노의 윤리학
833,-1,12046,166,차이니즈 조디악
835,3,1084,-631,스토커
838,-1,94112,232,잭 더 자이언트 킬러
839,6,-53162,-2365,파파로티
841,7,-31005,-1917,사이코메트리
843,0,7139,245,오즈 그레이트 앤드 파워풀
844,9,-72666,-2589,연애의 온도
847,8,-38903,-2314,웜 바디스
848,0,6725,82,장고:분노의 추적자
850,8,-46587,-2169,런닝맨
851,9,-56053,-2765,전설의 주먹
852,0,52381,133,지.아이.조 2
853,-1,34946,-60,오블리비언
854,-2,9647,67,노리개
855,1,-1175,2,송 포 유
856,8,-36278,-2623,전국노래자랑
858,0,-128486,-445,아이언맨 3
859,7,-77062,-2919,고령화 가족
860,2,-64743,-2339,몽타주
861,-2,-3517,-721,미나문방구
862,5,-82973,-2871,분노의 질주: 더 맥시멈
863,6,-55155,-1747,스타트렉 다크니스
865,-2,50403,788,위대한 개츠비
866,4,-9255,-764,비포 미드나잇
871,8,-173884,-5075,은밀하게 위대하게
872,6,-12161,-1381,무서운 이야기 2
874,-5,56701,1607,애프터 어스
875,0,8559,181,백악관 최후의 날
876,8,-183610,-4509,월드 워 Z
877,-1,79652,206,맨 오브 스틸
878,3,-39691,-1782,더 웹툰: 예고살인
879,8,-203438,-4534,감시자들
880,4,-21776,-1415,화이트 하우스 다운
881,-1,17919,213,론 레인저
884,4,-50512,-2810,미스터 고
886,6,-86078,-2813,퍼시픽 림
887,0,-1828,-909,레드: 더 레전드
888,7,-359738,-5284,설국열차
892,7,-231825,-4038,더 테러 라이브
893,4,-20419,-932,더 울버린
894,8,-229111,-3826,숨바꼭질
901,2,-55802,-2821,감기
902,1,26650,-688,나우 유 씨 미 : 마술사기단
904,4,-8637,-1234,잡스
906,0,75130,-325,엘리시움
907,6,-43779,-2654,스파이
917,9,-387514,-5500,관상
921,2,-41390,-907,퍼시 잭슨과 괴물의 바다
922,-4,-7236,630,섀도우 헌터스: 뼈의 도시
923,6,-109972,-3042,소원
927,7,-60841,-3335,깡철이
928,0,8859,178,프리즈너스
930,9,-88027,-3675,화이: 괴물을 삼킨 아이
932,3,-16174,-1435,밤의 여왕
933,2,-12627,-1459,롤러코스터
934,1,-9996,-968,캡틴 필립스
936,6,-54684,-2066,공범
937,5,-11222,-1334,응징자
938,6,-13080,-1961,노브레싱
939,6,-44726,-3013,동창생
941,0,45232,-301,토르: 다크 월드
942,9,-58397,-2251,결혼전야
945,8,-109718,-3876,친구 2
947,8,-82413,-2112,어바웃 타임
952,0,3685,256,더 파이브
953,8,-45745,-2474,열한시
954,7,-44044,-2221,헝거게임: 캣칭 파이어
957,6,-20139,-1775,창수
958,-1,17775,122,인시디어스: 두번째 집
960,1,681,11,이스케이프 플랜
961,0,-11776,-420,집으로 가는 길
964,9,-442712,-4080,변호인
968,-3,65770,539,호빗: 스마우그의 폐허
970,3,-25239,-880,캐치미
972,7,-154694,-3246,용의자
974,3,-13940,-1701,엔더스 게임
976,7,-27439,-1781,플랜맨
978,2,6661,-110,더 울프 오브 월스트리트
982,-4,37945,1529,잭 라이언 : 코드네임 쉐도우
983,-2,86337,82,피끓는 청춘
984,1,-30697,-330,수상한 그녀
988,1,14806,47,남자가 사랑할 때
990,4,-11307,-1260,조선미녀삼총사
991,2,-19450,-749,또 하나의 약속
993,3,-40220,-2208,관능의 법칙
994,0,11419,113,폴리스 스토리 2014
995,-1,26522,284,프랑켄슈타인: 불멸의 영웅
996,-2,47899,364,로보캅
998,-1,15532,-128,찌라시: 위험한 소문
999,1,-12605,-86,폼페이: 최후의 날
1000,0,52746,-180,논스톱
1001,3,-40,6,노예 12년
1004,0,59337,19,300: 제국의 부활
1005,1,272,-211,우아한 거짓말
1009,-1,111004,1039,노아
1010,0,72846,-282,캡틴 아메리카: 윈터 솔져
1011,6,-34385,-2108,방황하는 칼날
1012,3,-9395,-1337,쓰리데이즈 투 킬
1013,1,9205,-50,다이버전트
1015,0,87038,-73,어메이징 스파이더맨 2
1016,8,-316285,-4361,역린
1019,3,-3463,-688,라스트베가스
1020,5,-223768,-3091,표적
1021,9,-71445,-2862,인간중독
1024,7,-94456,-1920,끝까지 간다
1026,1,14160,82,트랜센던스
1027,-4,69653,798,고질라
1028,8,-93925,-3475,엑스맨: 데이즈 오브 퓨처 패스트
