,movieNm,actor1,audiCntAmt
398,내가 살인범이다,최원영,2729827
399,내가 살인범이다,박시후,2729827
400,부당거래,김승훈,2723028
401,미스 페레그린과 이상한 아이들의 집,아사 버터필드,2718158
402,미스 페레그린과 이상한 아이들의 집,에바 그린,2718158
403,소원,이레,2711094
404,너는 내 운명,전도연,2701851
405,너는 내 운명,원미경,2701851
406,너는 내 운명,한미영,2701851
407,너는 내 운명,이영하,2701851
408,적벽대전 2 : 최후의 결전,조미,2694436
409,적벽대전 2 : 최후의 결전,양조위,2694436
410,적벽대전 2 : 최후의 결전,금성무,2694436
411,시라노; 연애조작단,이민정,2684798
412,시라노; 연애조작단,최다니엘,2684798
413,지.아이.조 : 전쟁의 서막,채닝 테이텀,2665886
414,지.아이.조 : 전쟁의 서막,시에나 밀러,2665886
415,지.아이.조 : 전쟁의 서막,버튼 페레즈,2665886
416,살인자의 기억법,설현,2658589
417,브레이킹 던 part2,테일러 로트너,2654817
418,브레이킹 던 part2,로버트 패틴슨,2654817
419,브레이킹 던 part2,크리스틴 스튜어트,2654817
420,우주전쟁,저스틴 채트윈,2643153
421,타이탄,랄프 파인즈,2642483
422,후궁 : 제왕의 첩,김민준,2636385
423,후궁 : 제왕의 첩,김동욱,2636385
424,탐정 : 더 비기닝,박해준,2625686
425,미니언즈,존 햄,2625636
426,미니언즈,마이클 키튼,2625636
427,트랜스포머: 최후의 기사,로라 하드독,2614601
428,트랜스포머: 최후의 기사,안소니 홉킨스,2614601
429,하울의 움직이는 성,기무라 다쿠야,2614043
430,하울의 움직이는 성,바이쇼 치에코,2614043
431,제이슨 본,줄리아 스타일즈,2611966
432,도리를 찾아서,알버트 브룩스,2601761
433,도리를 찾아서,엘렌 드제너스,2601761
434,도리를 찾아서,다이안 키튼,2601761
435,위험한 상견례,송새벽,2595625
436,위험한 상견례,이시영,2595625
437,아수라,김현빈,2594420
438,보안관,김성균,2588628
439,기술자들,김영철,2564340
440,굿모닝 프레지던트,이순재,2554960
441,굿모닝 프레지던트,한동학,2554960
442,굿모닝 프레지던트,장동건,2554960
443,태극기 휘날리며,이은주,2545566
444,라스트 갓파더,심형래,2541603
445,라스트 갓파더,마이클 리스폴리,2541603
446,라스트 갓파더,하비 케이틀,2541603
447,퍼시픽 림,이드리스 엘바,2539113
448,퍼시픽 림,론 펄먼,2539113
449,퍼시픽 림,찰리 허냄,2539113
450,정글북,빌 머레이,2537438
451,정글북,닐 세티,2537438
452,1번가의 기적,임창정,2535450
453,엑스맨: 퍼스트 클래스,로즈 번,2534979
454,엑스맨: 퍼스트 클래스,재뉴어리 존스,2534979
